words	freq	n	p
偽記	279	2	2.37737E-05
白九痴	278	3	2.36885E-05
日奸	278	2	2.36885E-05
李柱冥	278	3	2.36885E-05
雞侵	278	2	2.36885E-05
大灣暉	278	3	2.36885E-05
卵樣	277	2	2.36033E-05
楊狗	277	2	2.36033E-05
駛能	276	2	2.35181E-05
痴西	275	2	2.34329E-05
屍潮	275	2	2.34329E-05
淫陣	274	2	2.33477E-05
廢侵	274	2	2.33477E-05
燉炳強	273	3	2.32624E-05
老姆	271	2	2.3092E-05
支匪	271	2	2.3092E-05
顛婆	267	2	2.27512E-05
瘋警	267	2	2.27512E-05
圍吊	266	2	2.2666E-05
扑野精	266	3	2.2666E-05
鐵黑	266	2	2.2666E-05
坡豬	265	2	2.25808E-05
七七七	265	3	2.25808E-05
雞蟲傑	264	3	2.24956E-05
凸朗普	264	3	2.24956E-05
黨鐵狗	263	3	2.24103E-05
逃狗生	262	3	2.23251E-05
劣正	262	2	2.23251E-05
含加	261	2	2.22399E-05
淫主黨	260	3	2.21547E-05
局腸	260	2	2.21547E-05
膠青	259	2	2.20695E-05
黑仔強	259	3	2.20695E-05
蝗婦	258	2	2.19843E-05
雞娼	258	2	2.19843E-05
蝗種	257	2	2.18991E-05
邪功	257	2	2.18991E-05
乞暴	256	2	2.18139E-05
英鬼	253	2	2.15582E-05
蟻員	252	2	2.1473E-05
蝗母	250	2	2.13026E-05
警雞	249	2	2.12174E-05
大波嬅	249	3	2.12174E-05
仆乖	248	2	2.11322E-05
肛聞黨	248	3	2.11322E-05
左奴	248	2	2.11322E-05
社淫	247	2	2.1047E-05
屈九	246	2	2.09618E-05
李蛇	246	2	2.09618E-05
李慧琼子	246	4	2.09618E-05
豬家	245	2	2.08766E-05
賓週	244	2	2.07913E-05
驚隊	244	2	2.07913E-05
好能憎	243	3	2.07061E-05
陰徑	241	2	2.05357E-05
大嬰	241	2	2.05357E-05
女偽人	240	3	2.04505E-05
拉七	238	2	2.02801E-05
白知	237	2	2.01949E-05
燃野	237	2	2.01949E-05
洗西	237	2	2.01949E-05
幸家	236	2	2.01097E-05
有九用	236	3	2.01097E-05
懲教狗	236	3	2.01097E-05
護主狗	235	3	2.00245E-05
蠢能	235	2	2.00245E-05
北京狗	235	3	2.00245E-05
毒民	234	2	1.99392E-05
屍煙	233	2	1.9854E-05
告七	232	2	1.97688E-05
捉九	232	2	1.97688E-05
托七	231	2	1.96836E-05
抵銀死	231	3	1.96836E-05
蜘蜂	231	2	1.96836E-05
偽員	231	2	1.96836E-05
瀨西	229	2	1.95132E-05
seven head	227	10	1.93428E-05
菜堅	227	2	1.93428E-05
廁英	227	2	1.93428E-05
闣	226	1	1.92576E-05
杘	226	1	1.92576E-05
衰西	226	2	1.92576E-05
懵能	225	2	1.91723E-05
迫暈	225	2	1.91723E-05
廢陶	225	2	1.91723E-05
驚春	223	2	1.90019E-05
廢精	222	2	1.89167E-05
陰國人	222	3	1.89167E-05
醫黃	221	2	1.88315E-05
港毒豬	221	3	1.88315E-05
段九	220	2	1.87463E-05
煩過西	217	3	1.84907E-05
刁種	217	2	1.84907E-05
南亞蝗	217	3	1.84907E-05
彭屍	215	2	1.83202E-05
毒果泥	215	3	1.83202E-05
有卵用	214	3	1.8235E-05
輸基	214	2	1.8235E-05
淫度	214	2	1.8235E-05
呆島	212	2	1.80646E-05
飯蕉	212	2	1.80646E-05
夠西膽	211	3	1.79794E-05
暴記	211	2	1.79794E-05
習妖維尼	211	4	1.79794E-05
英蝗	210	2	1.78942E-05
肥浸	210	2	1.78942E-05
叼你老母	209	4	1.7809E-05
關你義事	207	4	1.76386E-05
執九	207	2	1.76386E-05
執能	207	2	1.76386E-05
呃西	206	2	1.75533E-05
台畜	206	2	1.75533E-05
吊灣	206	2	1.75533E-05
輔狗	206	2	1.75533E-05
廢民	205	2	1.74681E-05
物春	204	2	1.73829E-05
畜民	204	2	1.73829E-05
耶棍	203	2	1.72977E-05
律屎	203	2	1.72977E-05
低智黃	203	3	1.72977E-05
匪島	203	2	1.72977E-05
社民狗	202	3	1.72125E-05
戀童登	202	3	1.72125E-05
粟屍	202	2	1.72125E-05
鼓油黨	201	3	1.71273E-05
毛奴	201	2	1.71273E-05
核凸普	200	3	1.70421E-05
美廢	200	2	1.70421E-05
特醜	200	2	1.70421E-05
老柱銘	199	3	1.69569E-05
猩加坡	199	3	1.69569E-05
畏精	199	2	1.69569E-05
乃共西	197	3	1.67865E-05
猿生	197	2	1.67865E-05
垃能圾	196	3	1.67012E-05
支仔	196	2	1.67012E-05
泡狗	195	2	1.6616E-05
日豚	195	2	1.6616E-05
朱狗	195	2	1.6616E-05
喪侵	195	2	1.6616E-05
文棍	195	2	1.6616E-05
負家	194	2	1.65308E-05
陷港	192	2	1.63604E-05
爛袋	192	2	1.63604E-05
食史	191	2	1.62752E-05
法淪	191	2	1.62752E-05
豬木屍	190	3	1.619E-05
死絕種	189	3	1.61048E-05
支鬼	189	2	1.61048E-05
蝗絲	188	2	1.60196E-05
狗婆	188	2	1.60196E-05
淫子傑	188	3	1.60196E-05
懂生	187	2	1.59344E-05
驚謊	187	2	1.59344E-05
老西殼	186	3	1.58491E-05
七狗	186	2	1.58491E-05
張狗雄	186	3	1.58491E-05
凹家	184	2	1.56787E-05
蝗仔	184	2	1.56787E-05
速龍狗	184	3	1.56787E-05
含賓	184	2	1.56787E-05
教屎	183	2	1.55935E-05
漆普	181	2	1.54231E-05
英畜	180	2	1.53379E-05
黑社連	180	3	1.53379E-05
蔡狗	180	2	1.53379E-05
愚若	179	2	1.52527E-05
牆國人	178	3	1.51675E-05
日不出	178	3	1.51675E-05
獨青	177	2	1.50822E-05
西賊	177	2	1.50822E-05
雞者	177	2	1.50822E-05
屠輝	177	2	1.50822E-05
鄭乳石	177	3	1.50822E-05
痴燃	176	2	1.4997E-05
西犬	176	2	1.4997E-05
黑渣	176	2	1.4997E-05
警蓄	176	2	1.4997E-05
林三白	175	3	1.49118E-05
田不俊	175	3	1.49118E-05
逃傑	175	2	1.49118E-05
警妓	173	2	1.47414E-05
毛畜界	173	3	1.47414E-05
煩西	172	2	1.46562E-05
狗觀	171	2	1.4571E-05
蝗女	171	2	1.4571E-05
執七	170	2	1.44858E-05
匪國人	170	3	1.44858E-05
黑煤	170	2	1.44858E-05
丟那星	169	3	1.44006E-05
仆家	169	2	1.44006E-05
范民	169	2	1.44006E-05
毛蓄	169	2	1.44006E-05
支豬	168	2	1.43154E-05
黑耳完	168	3	1.43154E-05
無卵用	167	3	1.42301E-05
支蟲	167	2	1.42301E-05
獨賊	167	2	1.42301E-05
傻警	166	2	1.41449E-05
肛蛇	166	2	1.41449E-05
懵炳強	166	3	1.41449E-05
多九如	165	3	1.40597E-05
理七	165	2	1.40597E-05
倭狗	165	2	1.40597E-05
逃狗身	165	3	1.40597E-05
警屍	165	2	1.40597E-05
發卵公	165	3	1.40597E-05
什種	164	2	1.39745E-05
幸加	164	2	1.39745E-05
無九用	164	3	1.39745E-05
畜膿	164	2	1.39745E-05
狠樣	163	2	1.38893E-05
七少陣	163	3	1.38893E-05
死燃	163	2	1.38893E-05
丟那媽	162	3	1.38041E-05
林酋	162	2	1.38041E-05
李雀淫	161	3	1.37189E-05
弱眉	161	2	1.37189E-05
共鏟黨	161	3	1.37189E-05
白痂	160	2	1.36337E-05
李厄人	160	3	1.36337E-05
搏吊	159	2	1.35485E-05
聞主黨	159	3	1.35485E-05
王偽	159	2	1.35485E-05
肛狗	159	2	1.35485E-05
教淫	159	2	1.35485E-05
孽蓄	158	2	1.34632E-05
呆胞	158	2	1.34632E-05
弱華	158	2	1.34632E-05
傻痴	157	2	1.3378E-05
貪僧	157	2	1.3378E-05
抵卵死	156	3	1.32928E-05
英豬	156	2	1.32928E-05
匪灣	156	2	1.32928E-05
李豬銘	155	3	1.32076E-05
